,seed_term,terms,value,type
0,대기오염,장비,0.12003113329410553,C
1,대기오염,해사,0.013902164995670319,C
2,대기오염,오토바이,0.03462354466319084,C
3,대기오염,건축,-0.03167404234409332,C
4,대기오염,소득,-0.09889259934425354,C
5,대기오염,요청,0.025169778615236282,C
6,대기오염,요인,0.2535402178764343,C
7,대기오염,교통량,0.3727567195892334,C
8,대기오염,운송,0.06115184724330902,C
9,대기오염,추진,0.22138753533363342,C
10,대기오염,시간,0.12573805451393127,C
11,대기오염,위치,0.06123904511332512,C
12,대기오염,기술,0.09138709306716919,C
13,대기오염,지적,0.3285626471042633,C
14,대기오염,폐기물,0.18145941197872162,C
15,대기오염,당사국,-0.007956222631037235,C
16,대기오염,업체,0.08959837257862091,C
17,대기오염,운행,0.06980331242084503,C
18,대기오염,비산,0.14456535875797272,C
19,대기오염,스모그,0.27960947155952454,C
20,대기오염,농지,-0.1375446617603302,C
21,대기오염,완료,0.031722962856292725,C
22,대기오염,성장,-0.10043353587388992,C
23,대기오염,관리,0.34871259331703186,C
24,대기오염,화력,0.1615566462278366,C
25,대기오염,발생,0.41080451011657715,C
26,대기오염,화학,0.051664773374795914,C
27,대기오염,저질,0.13822951912879944,C
28,대기오염,법,0.17962497472763062,C
29,대기오염,물질,0.271902859210968,C
30,대기오염,석유,-0.08856195956468582,C
31,대기오염,레미콘,-0.08348536491394043,C
32,대기오염,소각,0.049124039709568024,C
33,대기오염,담배,-0.0438777320086956,C
34,대기오염,보건,0.041411060839891434,C
35,대기오염,설계,0.06642567366361618,C
36,대기오염,겨울철,0.18647757172584534,C
37,대기오염,손길,-0.05942070484161377,C
38,대기오염,회담,-0.12140609323978424,C
39,대기오염,녹색,-0.10483833402395248,C
40,대기오염,파괴,0.11355995386838913,C
41,대기오염,감사원,0.11496224254369736,C
42,대기오염,아파트,-0.010238918475806713,C
43,대기오염,안개,0.053702838718891144,C
44,대기오염,적극,0.2612212300300598,C
45,대기오염,시장,-0.13221979141235352,C
46,대기오염,비판,0.03896478936076164,C
47,대기오염,실시간,0.3008357286453247,C
48,대기오염,오존,0.37449684739112854,C
49,대기오염,이번,0.25504517555236816,C
50,대기오염,도입,0.17522752285003662,C
51,대기오염,유사,0.02510708011686802,C
52,대기오염,규정,0.2449180632829666,C
53,대기오염,곳,0.24262802302837372,C
54,대기오염,아스,-0.31826668977737427,C
55,대기오염,사용,0.21786147356033325,C
56,대기오염,개발,-0.004407942295074463,C
57,대기오염,전략,-0.04943738132715225,C
58,대기오염,소송,-0.041740644723176956,C
59,대기오염,차량,0.185862198472023,C
60,대기오염,투표,-0.18649037182331085,C
61,대기오염,자외선,-0.07961368560791016,C
62,대기오염,발전소,0.2734247148036957,C
63,대기오염,사거리,-0.0659092515707016,C
64,대기오염,사회,0.07663924992084503,C
65,대기오염,계획,0.3102634847164154,C
66,대기오염,전력,0.08400305360555649,C
67,대기오염,사막,0.07410211116075516,C
68,대기오염,밀집,0.2649923861026764,C
69,대기오염,교체,0.03317578136920929,C
70,대기오염,확인,0.30776485800743103,C
71,대기오염,관련,0.2589038908481598,C
72,대기오염,대응,0.22329598665237427,C
73,대기오염,순서,-0.09646415710449219,C
74,대기오염,중,0.1420697271823883,C
75,대기오염,상황,0.2890201210975647,C
76,대기오염,추정,0.2637246549129486,C
77,대기오염,공장,0.22963695228099823,C
78,대기오염,도로,0.15217635035514832,C
79,대기오염,적치,-0.051721248775720596,C
80,대기오염,연소,0.2539512813091278,C
81,대기오염,보전,-0.04670761898159981,C
82,대기오염,비용,0.19645845890045166,C
83,대기오염,오존층,0.01448370423167944,C
84,대기오염,영동,-0.069038525223732,C
85,대기오염,흙먼지,0.1046699583530426,C
86,대기오염,자율,0.1287056803703308,C
87,대기오염,공급,0.12062747031450272,C
88,대기오염,의결,-0.14559604227542877,C
89,대기오염,등급,0.11813830584287643,C
90,대기오염,비료,-0.06595718860626221,C
91,대기오염,기준,0.2958163321018219,C
92,대기오염,대두,0.27358803153038025,C
93,대기오염,개인,0.13611754775047302,C
94,대기오염,석탄,0.11702608317136765,C
95,대기오염,공단,0.2568748891353607,C
96,대기오염,합의,0.09478728473186493,C
97,대기오염,발,0.11857414245605469,C
98,대기오염,설치,0.19367440044879913,C
99,대기오염,환경,0.41345351934432983,C
100,대기오염,특성,0.32360783219337463,C
101,대기오염,정책,0.15642908215522766,C
102,대기오염,단축,-0.007357690948992968,C
103,대기오염,경제,-0.015726789832115173,C
104,대기오염,강화,0.23998381197452545,C
105,대기오염,콘,-0.0846240445971489,C
106,대기오염,정상,0.06908561289310455,C
107,대기오염,일수,0.21324874460697174,C
108,대기오염,의료,0.01469812635332346,C
109,대기오염,가스,0.32052984833717346,C
110,대기오염,교통망,0.023289144039154053,C
111,대기오염,량,0.3112424910068512,C
112,대기오염,편입,-0.06873227655887604,C
113,대기오염,진행,0.07270566374063492,C
114,대기오염,예천,-0.13527381420135498,C
115,대기오염,통과,0.09005102515220642,C
116,대기오염,공업화,0.1649703085422516,C
117,대기오염,적정,0.21345314383506775,C
118,대기오염,지침,0.1417786329984665,C
119,대기오염,예보,0.163082554936409,C
120,대기오염,추세,0.21308553218841553,C
121,대기오염,단속,0.11596132069826126,C
122,대기오염,경우,0.40025535225868225,C
123,대기오염,공개,0.0818629264831543,C
124,대기오염,겨울,-0.00469928327947855,C
125,대기오염,화물,0.12929457426071167,C
126,대기오염,수준,0.34880420565605164,C
127,대기오염,차,-0.0705675408244133,C
128,대기오염,디젤차,0.11198288202285767,C
129,대기오염,정차,0.11914107948541641,C
